Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Gabriel Monteiro, 2708,,2708,2735.08,2762.35,2789.62,2816.89,2844.16,2872.44,2900.72,2929.0,2958.29,2987.58
Gália, 7011,,7011,7081.11,7151.81,7222.51,7294.22,7366.94,7439.66,7513.39,7588.13,7663.88,7739.63
Garça, 43115,,43115,43546.15,43981.46,44420.81,44864.2,45312.64,45765.12,46222.65,46684.22,47150.84,47621.5
Gastão Vidigal, 4193,,4193,4234.93,4276.34,4318.76,4361.18,4404.61,4448.04,4492.48,4536.92,4581.36,4626.81
Gavião Peixoto, 4419,,4419,4463.19,4507.63,4552.07,4597.52,4642.97,4688.42,4734.88,4781.34,4828.81,4876.28
General Salgado, 10669,,10669,10775.69,10882.75,10990.82,11099.9,11209.99,11321.09,11434.21,11548.34,11663.48,11779.63
Getulina, 10765,,10765,10872.65,10980.72,11089.8,11199.89,11310.99,11423.1,11537.23,11652.37,11768.52,11885.68
Glicério, 4565,,4565,4610.65,4656.1,4702.56,4749.02,4796.49,4843.96,4891.43,4939.91,4988.39,5037.88
Guaiçara, 10670,,10670,10776.7,10883.76,10991.83,11100.91,11211.0,11323.11,11436.23,11550.36,11665.5,11781.65
Guaimbê, 5425,,5425,5479.25,5533.79,5588.33,5643.88,5699.43,5755.99,5812.55,5870.12,5928.7,5987.28
Guaíra, 37404,,37404,37778.04,38155.78,38536.55,38921.36,39310.21,39703.1,40100.03,40501.0,40906.01,41315.06
Guapiaçu, 17869,,17869,18047.69,18227.47,18409.27,18593.09,18778.93,18965.78,19154.65,19345.54,19538.45,19733.38
Guapiara, 17998,,17998,18177.98,18358.77,18541.58,18726.41,18913.26,19102.13,19293.02,19485.93,19679.85,19875.79
Guará, 19858,,19858,20056.58,20256.56,20458.56,20662.58,20868.62,21076.68,21286.76,21498.86,21712.98,21929.12
Guaraci, 9976,,9976,10075.76,10175.75,10276.75,10378.76,10481.78,10585.81,10690.85,10796.9,10903.96,11012.03
Guarani d'Oeste, 1970,,1970,1989.7,2008.89,2028.08,2048.28,2068.48,2088.68,2108.88,2129.08,2150.29,2171.5
Guarantã, 6404,,6404,6468.04,6532.68,6597.32,6662.97,6728.62,6795.28,6862.95,6930.62,6999.3,7068.99
Guararapes, 30597,,30597,30902.97,31211.02,31523.11,31838.23,32156.38,32477.56,32801.77,33129.01,33460.29,33794.6
Guararema, 25844,,25844,26102.44,26363.02,26626.63,26892.26,27160.92,27431.6,27705.31,27982.05,28261.82,28543.61
Guaratinguetá, 112072,,112072,113192.72,114323.92,115466.23,116620.66,117786.2,118963.86,120152.63,121353.52,122566.53,123791.66
Guareí, 14565,,14565,14710.65,14857.1,15005.57,15155.05,15306.55,15459.06,15613.59,15769.13,15926.69,16085.26
Guariba, 35486,,35486,35840.86,36198.4,36559.98,36924.59,37293.24,37665.93,38041.65,38421.41,38805.21,39193.05
Guarujá, 290752,,290752,293659.52,296595.59,299560.95,302555.6,305580.55,308635.8,311721.35,314838.21,317986.38,321165.86
Guarulhos, 1221979,,1221979,1234198.79,1246539.98,1259004.39,1271594.04,1284309.94,1297152.09,1310123.52,1323224.23,1336456.24,1349820.56
Guatapará, 6966,,6966,7035.66,7105.35,7176.05,7247.76,7319.47,7392.19,7465.92,7539.65,7614.39,7690.14
Guzolândia, 4754,,4754,4801.54,4849.01,4897.49,4945.97,4994.45,5043.94,5093.43,5143.93,5194.43,5245.94
Herculândia, 8696,,8696,8782.96,8869.82,8957.69,9046.57,9136.46,9227.36,9319.27,9412.19,9506.12,9601.06
Holambra, 11299,,11299,11411.99,11525.11,11640.25,11756.4,11873.56,11991.73,12110.91,12231.1,12353.31,12476.53
Hortolândia, 192692,,192692,194618.92,196564.18,198529.64,200514.29,202519.14,204544.19,206589.44,208654.89,210740.54,212847.4
Iacanga, 10013,,10013,10113.13,10214.13,10316.14,10419.16,10523.19,10628.23,10734.28,10841.34,10949.41,11058.49
Iacri, 6419,,6419,6483.19,6547.83,6612.47,6678.12,6744.78,6811.44,6879.11,6947.79,7016.47,7086.16
Iaras, 6376,,6376,6439.76,6503.39,6568.03,6633.68,6699.33,6765.99,6832.65,6900.32,6969.0,7038.69
Ibaté, 30734,,30734,31041.34,31351.41,31664.51,31980.64,32299.8,32621.99,32947.21,33276.47,33608.76,33944.08
Ibirá, 10896,,10896,11004.96,11114.04,11225.14,11337.25,11450.37,11564.5,11679.64,11795.79,11912.95,12031.12
Ibirarema, 6725,,6725,6792.25,6859.92,6927.59,6996.27,7065.96,7135.65,7206.35,7278.06,7350.78,7423.5
Ibitinga, 53158,,53158,53689.58,54225.89,54767.25,55314.67,55867.14,56425.67,56989.25,57558.89,58133.58,58714.33
Ibiúna, 71217,,71217,71929.17,72648.29,73374.48,74107.74,74848.07,75596.48,76351.96,77114.51,77885.14,78663.85
Icém, 7462,,7462,7536.62,7611.36,7687.11,7763.87,7840.63,7918.4,7997.18,8076.97,8156.76,8237.56
Iepê, 7628,,7628,7704.28,7781.04,7858.81,7936.58,8015.36,8095.15,8175.95,8256.75,8338.56,8421.38
Igaraçu do Tietê, 23362,,23362,23595.62,23830.95,24068.3,24308.68,24551.08,24796.51,25043.96,25293.43,25545.93,25800.45
Igarapava, 27952,,27952,28231.52,28513.31,28798.13,29085.98,29375.85,29668.75,29964.68,30263.64,30565.63,30870.65
Igaratá, 8831,,8831,8919.31,9008.19,9098.08,9188.98,9279.88,9371.79,9464.71,9558.64,9653.58,9749.53
Iguape, 28841,,28841,29129.41,29420.29,29714.2,30011.14,30311.11,30614.11,30920.14,31229.2,31541.29,31856.41
Ilhabela, 28196,,28196,28477.96,28761.77,29048.61,29338.48,29631.38,29927.31,30226.27,30528.26,30833.28,31141.33
Ilha Comprida, 9025,,9025,9115.25,9206.15,9298.06,9390.98,9483.9,9577.83,9672.77,9768.72,9865.68,9963.65
Indaiatuba, 201619,,201619,203635.19,205671.35,207727.71,209804.27,211902.04,214021.02,216161.21,218322.61,220505.22,222710.05
Indiana, 4825,,4825,4873.25,4921.73,4970.21,5019.7,5069.19,5119.69,5170.19,5221.7,5273.21,5325.73
Indiaporã, 3903,,3903,3942.03,3981.42,4020.81,4060.2,4100.6,4141.0,4182.41,4223.82,4265.23,4307.65
Inúbia Paulista, 3630,,3630,3666.3,3702.66,3739.02,3776.39,3813.76,3851.13,3889.51,3927.89,3966.27,4005.66
Ipaussu, 13663,,13663,13799.63,13936.99,14075.36,14215.75,14357.15,14500.57,14645.0,14791.45,14938.91,15087.38
Iperó, 28300,,28300,28583.0,28868.83,29156.68,29447.56,29741.47,30038.41,30338.38,30641.38,30947.41,31256.47
Ipeúna, 6016,,6016,6076.16,6136.76,6197.36,6258.97,6320.58,6383.2,6446.83,6510.46,6575.1,6640.75
Ipiguá, 4463,,4463,4507.63,4552.07,4597.52,4642.97,4688.42,4734.88,4781.34,4828.81,4876.28,4924.76
Iporanga, 4299,,4299,4341.99,4384.41,4427.84,4471.27,4515.71,4560.15,4605.6,4651.05,4697.51,4743.97
Ipuã, 14148,,14148,14289.48,14431.89,14575.31,14720.75,14867.2,15015.67,15165.15,15316.65,15469.16,15623.69
Iracemápolis, 20029,,20029,20229.29,20431.29,20635.31,20841.35,21049.41,21259.49,21471.59,21685.71,21901.85,22120.01
Irapuã, 7275,,7275,7347.75,7420.47,7494.2,7568.94,7643.68,7719.43,7796.19,7873.96,7951.73,8030.51
Itaberá, 17858,,17858,18036.58,18216.36,18398.16,18581.98,18766.81,18953.66,19142.53,19333.42,19526.33,19721.26
Itaí, 24008,,24008,24248.08,24490.48,24734.9,24981.34,25230.81,25482.3,25736.82,25993.36,26252.93,26514.52
Itajobi, 14556,,14556,14701.56,14848.01,14996.48,15145.96,15296.45,15448.96,15602.48,15758.02,15915.58,16074.15
Itaju, 3246,,3246,3278.46,3310.78,3343.1,3376.43,3409.76,3443.09,3477.43,3511.77,3546.11,3581.46
Itanhaém, 87057,,87057,87927.57,88806.27,89694.06,90590.94,91495.9,92409.95,93333.09,94266.33,95208.66,96160.08
Itaoca, 3228,,3228,3260.28,3292.6,3324.92,3357.24,3390.57,3423.9,3457.23,3491.57,3525.91,3560.25
Itapecerica da Serra, 152614,,152614,154140.14,155681.4,157237.81,158809.37,160397.09,162000.97,163620.0,165256.2,166908.56,168577.08
Itapetininga, 144377,,144377,145820.77,147278.2,148750.78,150237.5,151739.37,153256.39,154788.56,156335.88,157898.35,159476.98
Itapeva, 87753,,87753,88630.53,89516.3,90411.16,91315.11,92228.15,93150.28,94081.5,95021.81,95971.21,96930.71
Itapevi, 200769,,200769,202776.69,204803.76,206851.03,208919.51,211008.19,213118.08,215249.18,217401.49,219575.01,221770.75
Itapira, 68537,,68537,69222.37,69914.22,70613.14,71319.13,72032.19,72752.32,73479.52,74213.79,74955.13,75704.55
Itapirapuã Paulista, 3880,,3880,3918.8,3957.18,3996.57,4035.96,4075.35,4115.75,4156.15,4197.56,4238.97,4280.38
Itápolis, 40051,,40051,40451.51,40855.51,41263.55,41675.63,42091.75,42511.91,42936.11,43365.36,43798.65,44235.98
Itaporanga, 14549,,14549,14694.49,14840.94,14988.4,15137.88,15288.37,15440.88,15594.4,15749.94,15906.49,16065.06
Itapuí, 12173,,12173,12294.73,12416.94,12540.16,12665.4,12791.65,12918.91,13047.18,13177.47,13308.77,13441.08
Itaquaquecetuba, 321770,,321770,324987.7,328236.87,331518.36,334833.18,338181.33,341562.81,344977.62,348426.77,351910.26,355429.1
Itararé, 47934,,47934,48413.34,48897.13,49385.97,49878.85,50376.78,50879.76,51387.79,51900.87,52419.0,52943.19
Itariri, 15471,,15471,15625.71,15781.25,15938.81,16097.38,16257.97,16419.57,16583.19,16748.83,16915.48,17084.15
Itatiba, 101471,,101471,102485.71,103509.85,104544.09,105589.44,106644.89,107710.44,108787.1,109874.87,110972.74,112081.72
Itatinga, 18052,,18052,18232.52,18414.32,18598.14,18783.98,18970.83,19159.7,19350.59,19543.5,19738.43,19935.38
Itirapina, 15524,,15524,15679.24,15835.79,15993.35,16152.93,16313.52,16476.13,16640.76,16806.4,16974.06,17143.74
Itirapuã, 5914,,5914,5973.14,6032.73,6092.32,6152.92,6213.52,6275.13,6337.75,6400.37,6464.0,6528.64
Itobi, 7546,,7546,7621.46,7697.21,7773.97,7850.73,7928.5,8007.28,8087.07,8167.87,8248.67,8330.48
Itu, 154147,,154147,155688.47,157244.88,158816.44,160404.16,162008.04,163628.08,165264.28,166916.64,168585.16,170270.85
Itupeva, 44859,,44859,45307.59,45760.07,46217.6,46679.17,47145.79,47616.45,48092.16,48572.92,49057.72,49547.57
Ituverava, 38695,,38695,39081.95,39471.81,39865.71,40263.65,40665.63,41071.65,41481.71,41895.81,42313.95,42736.13
Jaborandi, 6592,,6592,6657.92,6723.57,6790.23,6857.9,6925.57,6994.25,7063.94,7133.63,7204.33,7276.04
Jaboticabal, 71662,,71662,72378.62,73101.78,73832.01,74570.32,75315.7,76068.15,76828.68,77596.28,78371.96,79154.71
Jacareí, 211214,,211214,213326.14,215459.26,217613.59,219789.13,221986.89,224205.86,226447.05,228711.47,230998.11,233307.98
Jaci, 5657,,5657,5713.57,5770.13,5827.7,5885.27,5943.85,6002.43,6062.02,6122.62,6183.22,6244.83
Jacupiranga, 17208,,17208,17380.08,17553.8,17728.53,17905.28,18084.05,18264.84,18446.64,18630.46,18816.3,19004.16
Jaguariúna, 44311,,44311,44754.11,45201.54,45653.01,46109.53,46570.09,47035.7,47505.35,47980.05,48459.8,48943.59
Jales, 47012,,47012,47482.12,47956.82,48435.56,48919.35,49408.19,49902.08,50401.02,50905.01,51414.05,51928.14
Jambeiro, 5349,,5349,5402.49,5456.02,5510.56,5565.1,5620.65,5676.2,5732.76,5789.32,5846.89,5904.46
Jandira, 108344,,108344,109427.44,110521.27,111626.21,112742.26,113869.42,115007.69,116157.07,117318.57,118491.18,119675.91
Jardinópolis, 37661,,37661,38037.61,38417.37,38801.17,39189.01,39580.89,39975.8,40374.75,40777.74,41184.77,41595.84
Jarinu, 23847,,23847,24085.47,24325.85,24568.25,24813.68,25061.13,25311.61,25564.11,25819.64,26077.19,26337.77
Jaú, 131040,,131040,132350.4,133673.5,135009.73,136359.09,137722.59,139099.22,140489.99,141893.89,143311.93,144744.11
Jeriquara, 3160,,3160,3191.6,3222.91,3254.22,3286.54,3318.86,3351.18,3384.51,3417.84,3451.17,3485.51
Joanópolis, 11768,,11768,11885.68,12003.85,12123.03,12244.23,12366.44,12489.66,12613.89,12739.13,12866.39,12994.66
João Ramalho, 4150,,4150,4191.5,4232.91,4274.32,4316.74,4359.16,4402.59,4446.02,4490.46,4534.9,4579.34
José Bonifácio, 32763,,32763,33090.63,33420.9,33754.2,34091.54,34431.91,34775.31,35122.75,35473.22,35827.73,36185.27
Júlio Mesquita, 4430,,4430,4474.3,4518.74,4563.18,4608.63,4654.08,4700.54,4747.0,4794.47,4841.94,4889.41
Jumirim, 2798,,2798,2825.98,2853.25,2881.53,2909.81,2938.09,2967.38,2996.67,3025.96,3055.25,3085.55
Jundiaí, 370126,,370126,373827.26,377565.27,381340.65,385153.4,389004.53,392894.04,396822.94,400790.22,404797.9,408844.97
Juquiá, 19246,,19246,19438.46,19632.38,19828.32,20026.28,20226.26,20428.26,20632.28,20838.32,21046.38,21256.46
Juquitiba, 28737,,28737,29024.37,29314.24,29607.14,29903.07,30202.03,30504.02,30809.04,31117.09,31428.17,31742.28
Lagoinha, 4841,,4841,4889.41,4937.89,4986.37,5035.86,5085.35,5135.85,5186.35,5237.86,5289.37,5341.89
Laranjal Paulista, 25251,,25251,25503.51,25758.03,26015.58,26275.15,26537.75,26802.37,27070.02,27340.7,27613.4,27889.13
Lavínia, 8779,,8779,8866.79,8954.66,9043.54,9133.43,9224.33,9316.24,9409.16,9503.09,9598.03,9693.98
Lavrinhas, 6590,,6590,6655.9,6721.55,6788.21,6855.88,6923.55,6992.23,7061.92,7131.61,7202.31,7274.02
Leme, 91756,,91756,92673.56,93599.73,94534.99,95479.34,96433.79,97397.33,98370.97,99353.7,100346.53,101349.46
Lençóis Paulista, 61428,,61428,62042.28,62662.42,63288.62,63920.88,64559.2,65204.59,65856.04,66514.56,67179.14,67850.79
Limeira, 276022,,276022,278782.22,281569.82,284384.69,287227.84,290099.27,292999.99,295928.99,298887.28,301875.87,304893.75
Lindóia, 6712,,6712,6779.12,6846.79,6914.46,6983.14,7052.83,7122.52,7193.22,7264.93,7336.64,7409.36
Lins, 71432,,71432,72146.32,72867.46,73595.67,74330.95,75073.3,75823.73,76581.23,77346.81,78119.46,78900.19
Lorena, 82537,,82537,83362.37,84195.62,85036.95,85886.36,86744.86,87611.44,88487.11,89371.87,90264.71,91166.64
Lourdes, 2128,,2128,2149.28,2170.49,2191.7,2212.91,2234.12,2256.34,2278.56,2300.78,2323.0,2346.23
Louveira, 37125,,37125,37496.25,37870.96,38248.7,38630.48,39016.3,39406.16,39800.06,40198.0,40599.98,41004.99
Lucélia, 19882,,19882,20080.82,20280.8,20482.8,20686.82,20892.86,21100.92,21311.0,21524.11,21739.24,21956.39
Lucianópolis, 2249,,2249,2271.49,2293.71,2315.93,2338.15,2361.38,2384.61,2407.84,2431.07,2455.31,2479.55
Luís Antônio, 11286,,11286,11398.86,11511.98,11626.11,11742.26,11859.42,11977.59,12096.77,12216.96,12338.16,12461.38
Luiziânia, 5030,,5030,5080.3,5130.8,5181.3,5232.81,5284.32,5336.84,5389.36,5442.89,5496.42,5550.96
Lupércio, 4353,,4353,4396.53,4439.96,4483.39,4527.83,4572.27,4617.72,4663.17,4709.63,4756.09,4803.56
Lutécia, 2714,,2714,2741.14,2768.41,2795.68,2822.95,2850.22,2878.5,2906.78,2935.06,2964.35,2993.64
Macatuba, 16259,,16259,16421.59,16585.21,16750.85,16917.5,17086.17,17256.86,17428.56,17602.28,17778.02,17955.78
Macaubal, 7663,,7663,7739.63,7816.39,7894.16,7972.94,8051.72,8131.51,8212.31,8294.12,8376.94,8459.76
Macedônia, 3664,,3664,3700.64,3737.0,3774.37,3811.74,3849.11,3887.49,3925.87,3964.25,4003.64,4043.03
Magda, 3200,,3200,3232.0,3264.32,3296.64,3328.96,3361.28,3394.61,3427.94,3461.27,3495.61,3529.95
Mairinque, 43223,,43223,43655.23,44091.55,44531.91,44976.31,45425.76,45879.25,46337.79,46800.37,47268.0,47740.68
Mairiporã, 80956,,80956,81765.56,82582.65,83407.82,84241.07,85083.41,85933.83,86792.33,87659.92,88535.59,89420.35
Manduri, 8992,,8992,9081.92,9171.81,9262.71,9354.62,9447.54,9541.47,9636.41,9732.36,9829.32,9927.29
Maracaí, 13332,,13332,13465.32,13599.65,13734.99,13871.34,14009.71,14149.09,14290.49,14432.9,14576.32,14721.76
Marapoama, 2633,,2633,2659.33,2685.59,2711.85,2738.11,2765.38,2792.65,2819.92,2847.19,2875.47,2903.75
Mariápolis, 3916,,3916,3955.16,3994.55,4033.94,4073.33,4113.73,4154.13,4195.54,4236.95,4278.36,4320.78
Marília, 216745,,216745,218912.45,221101.12,223312.01,225545.12,227800.45,230078.0,232378.78,234701.78,237048.01,239418.48
Marinópolis, 2113,,2113,2134.13,2155.34,2176.55,2197.76,2218.97,2240.18,2262.4,2284.62,2306.84,2329.06
Martinópolis, 24219,,24219,24461.19,24705.61,24952.05,25201.52,25453.01,25707.53,25964.07,26223.64,26485.23,26749.85
Matão, 76786,,76786,77553.86,78328.53,79111.28,79902.11,80701.02,81508.01,82323.08,83146.23,83977.46,84816.77
Mauá, 417064,,417064,421234.64,425446.34,429700.46,433997.0,438336.97,442719.36,447146.19,451617.46,456133.17,460694.33
Mendonça, 4640,,4640,4686.4,4732.86,4779.32,4826.79,4874.26,4922.74,4971.22,5020.71,5070.2,5120.7
Meridiano, 3855,,3855,3893.55,3931.93,3970.31,4009.7,4049.09,4089.49,4129.89,4170.29,4211.7,4253.11
Mesópolis, 1886,,1886,1904.86,1923.04,1942.23,1961.42,1980.61,1999.8,2018.99,2038.18,2058.38,2078.58
Miguelópolis, 20451,,20451,20655.51,20861.55,21069.61,21279.69,21491.79,21705.91,21922.05,22141.22,22362.41,22585.62
Mineiros do Tietê, 12038,,12038,12158.38,12279.58,12401.79,12525.01,12650.25,12776.5,12903.76,13032.03,13162.32,13293.62
Miracatu, 20592,,20592,20797.92,21004.97,21214.04,21426.14,21640.26,21856.4,22074.56,22294.74,22516.94,22741.16
Mira Estrela, 2820,,2820,2848.2,2876.48,2904.76,2933.04,2962.33,2991.62,3020.91,3050.2,3080.5,3110.8
Mirandópolis, 27483,,27483,27757.83,28034.57,28314.34,28597.14,28882.97,29170.82,29461.7,29755.61,30052.55,30352.52
Mirassol, 53792,,53792,54329.92,54872.29,55420.72,55974.2,56533.74,57098.33,57668.98,58244.68,58826.44,59414.26
Mirassolândia, 4295,,4295,4337.95,4380.37,4423.8,4467.23,4511.67,4556.11,4601.56,4647.01,4693.47,4739.93
Mococa, 66290,,66290,66952.9,67621.52,68297.21,68979.97,69668.79,70364.68,71067.64,71777.67,72494.77,73218.94
Mogi das Cruzes, 387779,,387779,391656.79,395572.56,399527.72,403522.27,407557.22,411632.57,415748.32,419905.48,424104.05,428345.04
Mogi Guaçu, 137245,,137245,138617.45,140003.17,141403.03,142817.03,144245.17,145687.45,147143.87,148614.43,150100.14,151601.0
Mogi Mirim, 86505,,86505,87370.05,88243.7,89125.43,90016.25,90916.16,91825.16,92743.25,93670.43,94606.7,95552.06
Mombuca, 3266,,3266,3298.66,3330.98,3363.3,3396.63,3429.96,3463.29,3497.63,3531.97,3566.31,3601.66
Monções, 2132,,2132,2153.32,2174.53,2195.74,2216.95,2238.16,2260.38,2282.6,2304.82,2327.04,2350.27
Mongaguá, 46293,,46293,46755.93,47222.55,47694.22,48170.94,48651.7,49137.51,49628.37,50124.28,50625.24,51131.25
Monte Alegre do Sul, 7152,,7152,7223.52,7295.23,7367.95,7440.67,7514.4,7589.14,7664.89,7740.64,7817.4,7895.17
Monte Alto, 46642,,46642,47108.42,47579.08,48054.79,48534.54,49019.34,49509.19,50004.09,50504.04,51009.04,51519.09
Monte Aprazível, 21746,,21746,21963.46,22182.63,22403.82,22627.03,22853.27,23081.53,23311.81,23544.11,23779.44,24016.79
Monte Azul Paulista, 18931,,18931,19120.31,19311.2,19504.11,19699.04,19895.99,20093.95,20293.93,20495.93,20699.95,20905.99
Monteiro Lobato, 4120,,4120,4161.2,4202.61,4244.02,4286.44,4328.86,4371.28,4414.71,4458.14,4502.58,4547.02
Monte Mor, 48949,,48949,49438.49,49932.38,50431.32,50935.31,51444.35,51958.44,52477.58,53001.77,53531.01,54066.31
Morro Agudo, 29116,,29116,29407.16,29701.07,29998.01,30297.98,30599.97,30904.99,31213.04,31525.13,31840.25,32158.4
Morungaba, 11769,,11769,11886.69,12004.86,12124.04,12245.24,12367.45,12490.67,12614.9,12740.14,12867.4,12995.67
Motuca, 4290,,4290,4332.9,4375.32,4418.75,4462.18,4506.62,4551.06,4596.51,4641.96,4687.41,4733.87
Murutinga do Sul, 4186,,4186,4227.86,4269.27,4311.69,4354.11,4397.54,4440.97,4484.4,4528.84,4573.28,4618.73
Nantes, 2707,,2707,2734.07,2761.34,2788.61,2815.88,2843.15,2871.43,2899.71,2927.99,2956.27,2985.56
Natividade da Serra, 6678,,6678,6744.78,6811.44,6879.11,6947.79,7016.47,7086.16,7156.86,7227.56,7299.27,7371.99
Nazaré Paulista, 16414,,16414,16578.14,16743.78,16910.43,17079.1,17249.79,17421.49,17595.21,17770.95,17947.7,18126.47
Neves Paulista, 8772,,8772,8859.72,8947.59,9036.47,9126.36,9217.26,9309.17,9402.09,9496.02,9590.96,9685.9
Nhandeara, 10725,,10725,10832.25,10940.32,11049.4,11159.49,11270.59,11382.7,11495.82,11609.95,11725.09,11842.25
Nipoã, 4274,,4274,4316.74,4359.16,4402.59,4446.02,4490.46,4534.9,4579.34,4624.79,4670.24,4716.7
Nova Aliança, 5891,,5891,5949.91,6008.49,6068.08,6128.68,6189.28,6250.89,6312.5,6375.12,6438.75,6502.38
Nova Campina, 8515,,8515,8600.15,8686.0,8772.86,8859.72,8947.59,9036.47,9126.36,9217.26,9309.17,9402.09
Nova Canaã Paulista, 2114,,2114,2135.14,2156.35,2177.56,2198.77,2219.98,2241.19,2263.41,2285.63,2307.85,2330.07
Nova Castilho, 1125,,1125,1136.25,1147.36,1158.47,1169.58,1180.69,1191.8,1202.91,1214.02,1226.14,1238.26
Nova Europa, 9300,,9300,9393.0,9486.93,9580.86,9675.8,9771.75,9868.71,9966.68,10065.66,10165.65,10266.65
Nova Granada, 19180,,19180,19371.8,19564.71,19759.64,19956.59,20155.56,20356.55,20559.56,20764.59,20971.64,21180.71
Novais, 4592,,4592,4637.92,4683.37,4729.83,4776.29,4823.76,4871.23,4919.71,4968.19,5017.68,5067.17
Nova Luzitânia, 3441,,3441,3475.41,3509.75,3544.09,3579.44,3614.79,3650.14,3686.5,3722.86,3759.22,3796.59
Nova Odessa, 51242,,51242,51754.42,52271.54,52793.71,53320.93,53853.2,54391.53,54934.91,55483.34,56037.83,56597.37
Novo Horizonte, 36593,,36593,36958.93,37327.58,37700.27,38077.0,38457.77,38841.57,39229.41,39621.29,40017.21,40417.17
Nuporanga, 6817,,6817,6885.17,6953.85,7022.53,7092.22,7162.92,7233.62,7305.33,7378.05,7451.78,7525.51
Ocauçu, 4163,,4163,4204.63,4246.04,4288.46,4330.88,4373.3,4416.73,4460.16,4504.6,4549.04,4594.49
Óleo, 2673,,2673,2699.73,2725.99,2752.25,2779.52,2806.79,2834.06,2862.34,2890.62,2918.9,2947.18
Olímpia, 50024,,50024,50524.24,51029.24,51539.29,52054.39,52574.54,53099.74,53629.99,54165.29,54706.65,55253.06
Onda Verde, 3884,,3884,3922.84,3961.22,4000.61,4040.0,4080.4,4120.8,4161.2,4202.61,4244.02,4286.44
Oriente, 6097,,6097,6157.97,6218.57,6280.18,6342.8,6405.42,6469.05,6533.69,6598.33,6663.98,6729.63
Orindiúva, 5675,,5675,5731.75,5788.31,5845.88,5903.45,5962.03,6021.62,6081.21,6141.81,6202.41,6264.02
Orlândia, 39781,,39781,40178.81,40579.78,40984.79,41393.84,41806.93,42224.06,42646.24,43072.46,43502.72,43937.02
Osasco, 666740,,666740,673407.4,680141.07,686942.41,693811.42,700749.11,707756.49,714833.56,721981.33,729200.81,736492.0
Oscar Bressane, 2537,,2537,2562.37,2587.62,2612.87,2638.12,2664.38,2690.64,2716.9,2743.16,2770.43,2797.7
Osvaldo Cruz, 30917,,30917,31226.17,31538.26,31853.38,32171.53,32492.71,32816.92,33144.16,33475.44,33809.75,34147.09
Ourinhos, 103035,,103035,104065.35,105105.65,106156.05,107217.56,108289.17,109371.89,110464.71,111568.64,112683.68,113809.83
Ouroeste, 8405,,8405,8489.05,8573.89,8658.73,8744.58,8831.44,8919.31,9008.19,9098.08,9188.98,9279.88
Pacaembu, 13226,,13226,13358.26,13491.58,13625.91,13761.25,13898.61,14036.98,14176.36,14317.76,14460.17,14604.6
Palestina, 11051,,11051,11161.51,11272.61,11384.72,11497.84,11611.97,11727.11,11844.27,11962.44,12081.62,12201.81
Palmares Paulista, 10934,,10934,11043.34,11153.43,11264.53,11376.64,11489.76,11603.89,11719.03,11836.19,11954.36,12073.54
Palmeira d'Oeste, 9584,,9584,9679.84,9775.79,9872.75,9970.72,10069.7,10169.69,10270.69,10372.7,10475.72,10579.75
Palmital, 21186,,21186,21397.86,21610.97,21826.1,22044.26,22264.44,22486.64,22710.86,22937.1,23166.37,23397.66
Paraguaçu Paulista, 42278,,42278,42700.78,43127.0,43558.27,43993.58,44432.93,44876.32,45324.76,45777.24,46234.77,46696.34
Paraibuna, 17388,,17388,17561.88,17736.61,17913.36,18092.13,18272.92,18454.72,18638.54,18824.38,19012.24,19202.12
Paraíso, 5898,,5898,5956.98,6015.56,6075.15,6135.75,6196.35,6257.96,6319.57,6382.19,6445.82,6509.45
Paranapanema, 17808,,17808,17986.08,18165.86,18346.65,18529.46,18714.29,18901.14,19090.01,19280.9,19472.8,19666.72
Paranapuã, 3815,,3815,3853.15,3891.53,3929.91,3968.29,4007.68,4047.07,4087.47,4127.87,4168.27,4209.68
Parapuã, 10844,,10844,10952.44,11061.52,11171.61,11282.71,11394.82,11507.94,11622.07,11738.22,11855.38,11973.55
Pardinho, 5582,,5582,5637.82,5693.37,5749.93,5806.49,5864.06,5922.64,5981.22,6040.81,6100.4,6161.0
Pariquera-Açu, 18446,,18446,18630.46,18816.3,19004.16,19194.04,19385.94,19578.85,19773.78,19970.73,20169.7,20370.69
Parisi, 2032,,2032,2052.32,2072.52,2092.72,2112.92,2133.12,2154.33,2175.54,2196.75,2217.96,2239.17
Patrocínio Paulista, 13000,,13000,13130.0,13261.3,13393.61,13526.93,13661.26,13797.61,13934.97,14073.34,14213.73,14355.13
Paulínia, 82146,,82146,82967.46,83796.67,84633.96,85479.33,86333.79,87196.33,88067.96,88947.67,89836.47,90734.36
Paulistânia, 1779,,1779,1796.79,1813.96,1831.13,1849.31,1867.49,1885.67,1903.85,1922.03,1941.22,1960.41
Paulo de Faria, 8589,,8589,8674.89,8760.74,8847.6,8935.47,9024.35,9114.24,9205.14,9297.05,9389.97,9482.89
Pederneiras, 41497,,41497,41911.97,42330.11,42753.3,43180.53,43611.8,44047.11,44487.47,44931.87,45380.31,45833.8
Pedra Bela, 5780,,5780,5837.8,5895.37,5953.95,6012.53,6072.12,6132.72,6193.32,6254.93,6316.54,6379.16
Pedranópolis, 2558,,2558,2583.58,2608.83,2634.08,2660.34,2686.6,2712.86,2739.12,2766.39,2793.66,2820.93
