Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angatuba, 22210,,22210,22432.1,22656.32,22882.56,23110.82,23341.1,23574.41,23809.74,24047.09,24287.47,24529.87
Anhembi, 5653,,5653,5709.53,5766.09,5823.66,5881.23,5939.81,5998.39,6057.98,6117.57,6178.17,6239.78
Aparecida, 35007,,35007,35357.07,35710.57,36067.1,36427.67,36791.27,37158.91,37529.58,37904.29,38283.04,38665.83
Aparecida d'Oeste, 4450,,4450,4494.5,4538.94,4583.38,4628.83,4674.28,4720.74,4767.2,4814.67,4862.14,4910.62
Apiaí, 25191,,25191,25442.91,25696.42,25952.96,26211.52,26473.11,26737.73,27004.37,27274.04,27546.74,27821.46
Araçariguama, 17080,,17080,17250.8,17422.5,17596.22,17771.96,17948.71,18127.48,18308.27,18491.08,18675.91,18861.75
Araçatuba, 181579,,181579,183394.79,185227.94,187079.27,188949.79,190838.49,192746.38,194673.46,196619.73,198585.19,200570.85
Araçoiaba da Serra, 27299,,27299,27571.99,27846.71,28124.46,28405.24,28689.05,28975.89,29264.75,29556.64,29851.56,30149.51
Aramina, 5152,,5152,5203.52,5255.03,5307.55,5360.07,5413.6,5467.13,5521.67,5576.21,5631.76,5687.31
Arandu, 6123,,6123,6184.23,6245.84,6307.45,6370.07,6433.7,6497.33,6561.97,6626.61,6692.26,6758.92
Arapeí, 2493,,2493,2517.93,2542.17,2567.42,2592.67,2617.92,2643.17,2669.43,2695.69,2721.95,2748.21
Araraquara, 208662,,208662,210748.62,212855.48,214983.55,217132.83,219303.32,221496.03,223710.96,225947.1,228206.47,230488.06
Araras, 118843,,118843,120031.43,121231.31,122443.31,123667.43,124903.67,126152.03,127413.52,128687.13,129973.87,131272.73
Arco-Íris, 1925,,1925,1944.25,1963.44,1982.63,2001.82,2021.01,2041.21,2061.41,2081.61,2101.81,2122.01
Arealva, 7841,,7841,7919.41,7998.19,8077.98,8157.77,8238.57,8320.38,8403.2,8487.03,8571.87,8656.71
Areias, 3696,,3696,3732.96,3769.32,3806.69,3844.06,3882.44,3920.82,3959.2,3998.59,4037.98,4077.37
Areiópolis, 10579,,10579,10684.79,10790.84,10897.9,11005.97,11115.05,11226.15,11338.26,11451.38,11565.51,11680.65
Ariranha, 8547,,8547,8632.47,8718.32,8805.18,8893.05,8981.93,9070.81,9160.7,9251.6,9343.51,9436.43
Artur Nogueira, 44177,,44177,44618.77,45064.18,45514.64,45969.14,46428.69,46892.28,47360.92,47833.6,48311.33,48794.11
Arujá, 74905,,74905,75654.05,76410.54,77174.1,77945.74,78724.45,79511.24,80306.11,81109.06,81920.09,82739.2
Aspásia, 1809,,1809,1827.09,1845.27,1863.45,1881.63,1899.81,1917.99,1936.17,1955.36,1974.55,1993.74
Assis, 95144,,95144,96095.44,97055.95,98025.55,99005.25,99995.05,100994.95,102003.94,103023.03,104053.23,105093.53
Atibaia, 126603,,126603,127869.03,129147.69,130438.47,131742.38,133059.42,134389.59,135732.89,137089.32,138459.89,139843.59
Auriflama, 14202,,14202,14344.02,14487.44,14631.87,14777.31,14924.77,15073.24,15223.73,15375.23,15528.75,15683.28
Avaí, 4959,,4959,5008.59,5058.08,5108.58,5159.08,5210.59,5262.1,5314.62,5367.14,5420.67,5474.2
Avanhandava, 11310,,11310,11423.1,11537.23,11652.37,11768.52,11885.68,12003.85,12123.03,12244.23,12366.44,12489.66
Avaré, 82934,,82934,83763.34,84600.63,85446.0,86300.46,87163.0,88034.63,88914.34,89803.14,90701.03,91608.01
Bady Bassitt, 14603,,14603,14749.03,14896.49,15044.96,15194.44,15345.94,15498.45,15652.98,15808.52,15966.08,16125.66
Balbinos, 3702,,3702,3739.02,3776.39,3813.76,3851.13,3889.51,3927.89,3966.27,4005.66,4045.05,4085.45
Bálsamo, 8160,,8160,8241.6,8323.41,8406.23,8490.06,8574.9,8659.74,8745.59,8832.45,8920.32,9009.2
Bananal, 10223,,10223,10325.23,10428.25,10532.28,10637.32,10743.37,10850.43,10958.5,11067.58,11177.67,11288.77
Barão de Antonina, 3116,,3116,3147.16,3178.47,3209.78,3241.09,3273.41,3305.73,3338.05,3371.38,3404.71,3438.04
Barbosa, 6593,,6593,6658.93,6724.58,6791.24,6858.91,6926.58,6995.26,7064.95,7134.64,7205.34,7277.05
Bariri, 31593,,31593,31908.93,32227.08,32549.27,32874.49,33202.74,33534.02,33869.34,34207.69,34549.07,34894.49
Barra Bonita, 35246,,35246,35598.46,35953.98,36312.53,36675.12,37041.75,37411.41,37785.11,38162.85,38543.62,38928.43
Barra do Chapéu, 5244,,5244,5296.44,5348.96,5401.48,5455.01,5509.55,5564.09,5619.64,5675.19,5731.75,5788.31
Barra do Turvo, 7729,,7729,7806.29,7884.06,7962.84,8041.62,8121.41,8202.21,8284.02,8366.84,8449.66,8533.49
Barretos, 112101,,112101,113222.01,114354.22,115497.54,116651.97,117817.51,118995.17,120184.95,121385.84,122598.85,123823.98
Barrinha, 28496,,28496,28780.96,29067.8,29357.67,29650.57,29946.5,30245.46,30547.45,30852.47,31160.52,31471.6
Barueri, 240749,,240749,243156.49,245587.56,248042.87,250522.42,253027.22,255557.27,258112.57,260693.12,263299.93,265931.99
Bastos, 20445,,20445,20649.45,20855.49,21063.55,21273.63,21485.73,21699.85,21915.99,22134.15,22355.34,22578.55
Batatais, 56476,,56476,57040.76,57610.4,58186.1,58767.86,59354.67,59947.54,60546.47,61151.46,61762.51,62379.62
